command:	/home/icgc/WORK/adachi/TOOL/revisePckg/clone0308_callallSV/script/pe/detectGR -i .list.sam.tumor -l 1510 -ni .list.sam.normal -nl 1410 32
Job start:	20230524_20-00-42

log: tumor_stp4inv-16/20	 [	3 cluster,	filesize =	146459 ] generated
log: tumor_stp4inv-17/20	 [	6 cluster,	filesize =	318075 ] generated
log: tumor_stp4inv-18/20	 [	7 cluster,	filesize =	391123 ] generated
log: tumor_stp4inv-19/20	 [ filesize =	74727 ] generated
log: tumor_stp4inv-20/20	 [ filesize =	70880 ] generated
log: tumor_stp5-1/5	 [	46 cluster,	filesize =	7330 ] generated
log: tumor_stp5-2/5	 [	46 cluster,	filesize =	6460 ] generated
log: tumor_stp5-3/5	 [	46 cluster,	filesize =	6460 ] generated
log: tumor_stp5-4/5	 [	46 cluster,	filesize =	5262 ] generated
log: tumor_stp5-5/5	 [	46 cluster,	filesize =	4449 ] generated
